location,continent,epoch,lon,lat,image_id,captured_at,is_pano,width,height,n_detections,n_classes,n_surface,n_marking,n_object,n_traffic_sign,n_other,has_surface,detections_created_min,detections_created_max,decode_failures,sky_above_road,top_classes,error
Buenos Aires,South America,2018,-58.3816,-34.6037,840314859923237,2018-09-26,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
Buenos Aires,South America,2018,-58.3816,-34.6037,2896758723927767,2018-04-11,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2018,-58.3816,-34.6037,180857303924704,2018-04-11,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2019,-58.3816,-34.6037,3638240972947265,2019-02-28,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2019,-58.3816,-34.6037,869211000295215,2019-03-28,False,,,2,2,0,0,2,0,0,False,2021-05-22,2021-05-22,0,,object--manhole;object--support--pole,
Buenos Aires,South America,2019,-58.3816,-34.6037,778213769473475,2019-02-27,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2020,-58.3816,-34.6037,298112338644317,2020-01-22,False,,,3,2,0,0,3,0,0,False,2021-05-22,2021-05-22,0,,object--sign--store;object--sign--advertisement,
Buenos Aires,South America,2020,-58.3816,-34.6037,202448625039043,2020-01-22,False,,,3,2,0,0,3,0,0,False,2021-05-22,2021-05-22,0,,object--sign--advertisement;object--sign--store,
Buenos Aires,South America,2020,-58.3816,-34.6037,313343036824724,2020-01-22,False,,,2,2,0,0,1,1,0,False,2021-05-19,2021-05-22,0,,complementary--texts-two-lines--g1;object--sign--store,
Buenos Aires,South America,2022,-58.3816,-34.6037,1359187117904204,2022-09-15,False,,,230,20,185,0,44,1,0,True,2022-09-16,2022-09-16,0,True,void--unlabeled;construction--structure--building;object--wire-group;nature--sky;object--vehicle--car;object--support--pole;nature--vegetation;object--traffic-sign--front,
Buenos Aires,South America,2022,-58.3816,-34.6037,1044534423147093,2022-05-17,False,,,300,27,244,3,52,1,0,True,2022-05-19,2022-05-19,0,True,void--unlabeled;construction--structure--building;construction--flat--road;nature--vegetation;object--wire-group;construction--flat--sidewalk;construction--barrier--curb;object--vehicle--car,
Buenos Aires,South America,2022,-58.3816,-34.6037,1307373080067985,2022-09-15,False,,,132,15,109,0,23,0,0,True,2022-09-16,2022-09-16,0,True,void--unlabeled;construction--structure--building;nature--vegetation;object--vehicle--car;object--wire-group;nature--sky;construction--flat--road;object--sign--store,
Buenos Aires,South America,2023,-58.3816,-34.6037,698886938971686,2023-08-11,False,,,148,20,127,0,21,0,0,True,2023-10-24,2023-10-24,0,,void--unlabeled;construction--structure--building;nature--vegetation;object--vehicle--car;construction--flat--road;object--sign--store;construction--barrier--fence;construction--flat--sidewalk,
Buenos Aires,South America,2023,-58.3816,-34.6037,6237361929663068,2023-03-05,False,,,447,24,356,14,77,0,0,True,2023-03-06,2023-03-06,0,True,void--unlabeled;construction--structure--building;object--support--pole;construction--barrier--curb;marking--continuous--dashed;human--person--individual;construction--flat--sidewalk;object--sign--store,
Buenos Aires,South America,2023,-58.3816,-34.6037,1462334297955854,2023-08-11,False,,,168,21,141,1,26,0,0,True,2023-10-24,2023-10-24,0,True,void--unlabeled;construction--structure--building;object--vehicle--car;construction--barrier--curb;construction--flat--sidewalk;human--person--individual;construction--flat--road;nature--sky,
Buenos Aires,South America,2024,-58.3816,-34.6037,1219880085964226,2024-08-24,False,,,240,25,199,10,31,0,0,True,2024-10-26,2024-10-26,0,True,void--unlabeled;construction--structure--building;nature--sky;nature--vegetation;marking--continuous--solid;construction--barrier--curb;construction--flat--road;object--wire-group,
Buenos Aires,South America,2024,-58.3816,-34.6037,1073253964262180,2024-08-24,False,,,184,21,165,0,19,0,0,True,2024-10-26,2024-10-26,0,True,void--unlabeled;construction--barrier--curb;void--static;construction--flat--sidewalk;void--ground;construction--structure--building;void--ego-vehicle;nature--sky,
Buenos Aires,South America,2024,-58.3816,-34.6037,1338523070479902,2024-08-23,False,,,433,30,358,13,62,0,0,True,2024-10-24,2024-10-24,0,True,void--unlabeled;construction--structure--building;construction--flat--road;human--person--individual;construction--barrier--curb;construction--flat--sidewalk;void--static;object--support--pole,
Buenos Aires,South America,2025,-58.3816,-34.6037,1211495773712359,2025-04-06,False,,,505,33,399,31,75,0,0,True,2025-04-06,2025-04-06,0,True,void--unlabeled;construction--flat--road;void--static;construction--barrier--curb;marking--continuous--dashed;construction--flat--sidewalk;object--support--pole;construction--structure--building,
Buenos Aires,South America,2025,-58.3816,-34.6037,1189009580093704,2025-12-31,False,,,64,9,64,0,0,0,0,True,2025-12-31,2025-12-31,0,,construction--structure--building;void--unlabeled;construction--barrier--wall;construction--flat--sidewalk;construction--structure--tunnel;construction--barrier--curb;construction--flat--road;void--ego-vehicle,
Buenos Aires,South America,2025,-58.3816,-34.6037,946585390886459,2025-04-18,False,,,334,22,289,4,41,0,0,True,2025-04-21,2025-04-21,0,True,void--unlabeled;nature--vegetation;construction--barrier--fence;construction--structure--building;construction--barrier--wall;object--wire-group;construction--barrier--curb;construction--flat--road,
Bogotá,South America,2014-2015,-74.0721,4.711,469527471052487,2015-11-29,False,,,5,4,0,0,4,1,0,False,2021-05-21,2021-05-22,0,,object--support--pole;regulatory--no-overtaking--g5;object--support--utility-pole;object--sign--store,
Bogotá,South America,2014-2015,-74.0721,4.711,290587652529702,2015-11-29,False,,,3,3,0,0,2,1,0,False,2021-05-20,2021-05-22,0,,regulatory--maximum-speed-limit-40--g1;object--support--utility-pole;object--sign--store,
Bogotá,South America,2014-2015,-74.0721,4.711,488250739157195,2015-11-29,False,,,5,4,0,0,4,1,0,False,2021-05-20,2021-05-23,0,,object--support--utility-pole;regulatory--maximum-speed-limit-40--g1;object--sign--advertisement;object--support--pole,
Bogotá,South America,2016-2017,-74.0721,4.711,216766146620465,2017-09-20,False,,,0,0,0,0,0,0,0,False,,,0,,,
Bogotá,South America,2016-2017,-74.0721,4.711,234546451779606,2017-09-24,False,,,0,0,0,0,0,0,0,False,,,0,,,
Bogotá,South America,2016-2017,-74.0721,4.711,225832918881951,2017-09-21,False,,,4,2,0,0,4,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole;object--street-light,
Bogotá,South America,2018,-74.0721,4.711,463866038243317,2018-10-07,True,,,20,7,0,0,20,0,0,False,2021-05-22,2021-05-23,0,,object--support--pole;object--street-light;object--sign--advertisement;object--support--utility-pole;object--sign--store;object--manhole;object--catch-basin,
Bogotá,South America,2018,-74.0721,4.711,297181572081662,2018-05-06,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--sign--store,
Bogotá,South America,2018,-74.0721,4.711,2948450762058197,2018-10-07,False,,,5,3,0,0,5,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole;object--support--utility-pole;object--sign--store,
Bogotá,South America,2019,-74.0721,4.711,870736603523468,2019-03-10,True,,,15,6,0,0,14,1,0,False,2021-05-19,2021-05-22,0,,object--support--pole;object--street-light;object--sign--store;object--support--utility-pole;regulatory--maximum-speed-limit-30--g1;object--sign--advertisement,
Bogotá,South America,2019,-74.0721,4.711,817720642485506,2019-01-13,False,,,2,1,0,0,2,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
Bogotá,South America,2019,-74.0721,4.711,920633228777560,2019-03-10,True,,,7,3,0,0,7,0,0,False,2021-05-22,2021-05-23,0,,object--support--pole;object--street-light;object--sign--advertisement,
Bogotá,South America,2021,-74.0721,4.711,601597241118655,2021-10-14,False,,,357,24,283,3,71,0,0,True,2021-11-30,2021-11-30,0,True,void--unlabeled;construction--structure--building;object--wire-group;void--dynamic;construction--barrier--fence;object--vehicle--car;construction--flat--road;nature--sky,
Bogotá,South America,2021,-74.0721,4.711,486086466041739,2021-10-14,False,,,169,13,155,0,14,0,0,True,2021-11-29,2021-11-29,0,True,void--unlabeled;construction--flat--road;nature--terrain;construction--structure--building;nature--vegetation;construction--barrier--wall;object--vehicle--car;nature--sky,
Bogotá,South America,2021,-74.0721,4.711,1878589939018318,2021-10-14,False,,,386,24,322,0,64,0,0,True,2021-11-30,2021-11-30,0,True,void--unlabeled;construction--structure--building;nature--sky;object--wire-group;construction--flat--road;construction--barrier--curb;construction--flat--sidewalk;nature--terrain,
Bogotá,South America,2022,-74.0721,4.711,114588258032403,2022-07-05,False,,,390,24,329,3,55,3,0,True,2022-08-28,2022-08-28,0,True,void--unlabeled;nature--vegetation;nature--terrain;object--support--pole;void--ground;construction--barrier--fence;construction--barrier--wall;construction--structure--building,
Bogotá,South America,2022,-74.0721,4.711,1074621063486931,2022-07-05,False,,,154,20,132,6,16,0,0,True,2022-07-21,2022-07-21,0,True,void--unlabeled;nature--terrain;construction--structure--building;construction--barrier--curb;construction--barrier--fence;nature--vegetation;construction--flat--sidewalk;object--support--pole,
Bogotá,South America,2022,-74.0721,4.711,934406210546352,2022-02-06,False,,,297,21,253,8,35,1,0,True,2022-02-07,2022-02-07,0,True,void--unlabeled;void--static;construction--flat--sidewalk;nature--sky;construction--flat--road;object--wire-group;construction--barrier--curb;nature--terrain,
Bogotá,South America,2023,-74.0721,4.711,1861892890838922,2023-02-02,True,,,408,26,345,12,51,0,0,True,2023-02-07,2023-02-07,0,True,void--unlabeled;nature--terrain;construction--flat--sidewalk;construction--structure--building;nature--vegetation;construction--barrier--curb;construction--barrier--wall;object--wire-group,
Bogotá,South America,2023,-74.0721,4.711,530570475835179,2023-02-02,False,,,265,19,218,0,47,0,0,True,2023-02-04,2023-02-04,0,True,void--unlabeled;object--wire-group;construction--flat--sidewalk;nature--terrain;nature--sky;construction--structure--building;void--ground;construction--flat--road,
Bogotá,South America,2023,-74.0721,4.711,1282311855986851,2023-07-30,True,,,572,29,461,43,68,0,0,True,2023-08-05,2023-08-05,0,True,void--unlabeled;construction--flat--road;construction--structure--building;marking--continuous--solid;nature--vegetation;construction--barrier--curb;nature--terrain;object--support--pole,
Bogotá,South America,2024,-74.0721,4.711,885798813730454,2024-12-24,True,,,470,23,360,45,65,0,0,True,2025-01-03,2025-01-03,0,True,void--unlabeled;marking--continuous--solid;construction--flat--road;construction--barrier--fence;nature--terrain;void--static;nature--vegetation;object--wire-group,
Bogotá,South America,2024,-74.0721,4.711,1052562883253834,2024-06-03,True,,,788,33,696,3,86,3,0,True,2024-07-28,2024-07-28,0,True,void--unlabeled;construction--structure--building;construction--flat--road;nature--vegetation;construction--barrier--curb;construction--barrier--fence;construction--flat--sidewalk;object--support--pole,
Bogotá,South America,2024,-74.0721,4.711,401530465820998,2024-03-03,False,,,318,25,266,0,52,0,0,True,2024-03-14,2024-03-14,0,True,void--unlabeled;construction--structure--building;construction--barrier--curb;construction--flat--sidewalk;nature--sky;nature--vegetation;object--support--pole;construction--flat--traffic-island,
Bogotá,South America,2025,-74.0721,4.711,3856993281111933,2025-08-29,False,,,322,28,263,21,38,0,0,True,2025-09-08,2025-09-08,0,True,void--unlabeled;construction--structure--building;construction--flat--road;nature--vegetation;nature--terrain;marking--continuous--solid;object--support--pole;object--vehicle--car,
Bogotá,South America,2025,-74.0721,4.711,1342780500631488,2025-10-09,True,,,394,29,275,59,59,1,0,True,2025-10-18,2025-10-18,0,True,void--unlabeled;marking--continuous--dashed;construction--barrier--fence;construction--structure--building;marking--continuous--solid;construction--flat--sidewalk;object--support--pole;nature--vegetation,
Bogotá,South America,2025,-74.0721,4.711,2952973828238867,2025-10-09,True,,,383,25,324,2,57,0,0,True,2025-10-18,2025-10-18,0,True,void--unlabeled;nature--vegetation;nature--sky;construction--flat--road;void--dynamic;void--ground;construction--structure--building;object--support--pole,
Bogotá,South America,2026,-74.0721,4.711,1710231090216444,2026-02-25,True,,,315,25,237,0,77,1,0,True,2026-07-25,2026-07-25,0,True,void--unlabeled;object--wire-group;construction--structure--building;construction--flat--sidewalk;nature--vegetation;nature--sky;construction--barrier--curb;nature--terrain,
Bogotá,South America,2026,-74.0721,4.711,2441739009661944,2026-02-12,True,,,320,23,270,0,50,0,0,True,2026-05-26,2026-05-26,0,True,void--unlabeled;nature--sky;object--wire-group;nature--vegetation;construction--flat--sidewalk;void--static;construction--barrier--fence;construction--barrier--wall,
Bogotá,South America,2026,-74.0721,4.711,1359443763039549,2026-02-26,True,,,321,25,268,12,40,1,0,True,2026-07-25,2026-07-25,0,True,void--unlabeled;nature--vegetation;nature--terrain;construction--structure--building;construction--flat--sidewalk;construction--barrier--fence;construction--barrier--curb;marking--continuous--dashed,
Lima,South America,2016-2017,-77.0428,-12.0464,545737340146438,2016-07-09,False,,,5,3,0,1,4,0,0,False,2021-05-22,2021-05-22,0,,object--sign--store;object--sign--advertisement;marking--discrete--crosswalk-zebra,
Lima,South America,2016-2017,-77.0428,-12.0464,160187972706347,2016-07-09,False,,,0,0,0,0,0,0,0,False,,,0,,,
Lima,South America,2016-2017,-77.0428,-12.0464,1121717601669702,2016-07-09,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
